lga_id,lga_name,state,geopolitical_zone,latitude,longitude,population_0_14,children_6_14,oos_count,oos_rate,poverty_rate,conflict_score,gender_gap,distance_to_school_km,teacher_pupil_ratio,disability_rate,school_density_per_1000,literacy_rate,water_sanitation_access,dominant_driver,risk_tier
13,Adamawa_LGA_03,Adamawa,NE,9.4178,12.1935,137023,63751,31560,0.4951,0.6843,0.7838,0.3349,1.59,0.02321,0.0884,0.788,0.3476,0.3064,poverty,High
14,Adamawa_LGA_04,Adamawa,NE,9.9567,12.7978,18868,8290,4401,0.531,0.7628,0.6881,0.3943,4.91,0.02183,0.0859,1.132,0.4343,0.2903,poverty,High
15,Adamawa_LGA_05,Adamawa,NE,8.9156,11.7964,112955,45418,28747,0.633,0.8879,0.682,0.3608,1.23,0.01077,0.0811,0.993,0.3684,0.1006,poverty,Critical
16,Adamawa_LGA_06,Adamawa,NE,8.7409,12.6843,42823,17924,11143,0.6217,0.586,0.6951,0.3378,12.92,0.01268,0.0867,1.075,0.2939,0.3741,poverty,Critical
17,Adamawa_LGA_07,Adamawa,NE,9.1661,12.0815,183044,84725,61797,0.7294,0.8302,0.7538,0.4469,4.7,0.0142,0.0878,0.873,0.4141,0.0986,poverty,Critical
18,Adamawa_LGA_08,Adamawa,NE,9.4837,13.0928,41962,20599,10020,0.4865,0.727,0.5537,0.3505,0.5,0.03005,0.0827,0.604,0.2282,0.2376,poverty,High
19,Adamawa_LGA_09,Adamawa,NE,9.1287,12.2814,123051,51918,28596,0.5508,0.7425,0.5242,0.3066,1.36,0.01,0.079,1.351,0.6324,0.1732,poverty,High
20,Adamawa_LGA_10,Adamawa,NE,9.0265,11.8302,151852,74205,45701,0.6159,0.8122,0.7435,0.3612,0.9,0.01,0.0876,0.72,0.4186,0.1413,poverty,Critical
21,Adamawa_LGA_11,Adamawa,NE,9.1598,12.1088,9712,4647,2283,0.4914,0.7543,0.7,0.3439,0.5,0.01919,0.1109,1.272,0.4309,0.183,poverty,High
22,Adamawa_LGA_12,Adamawa,NE,9.8635,11.6831,98414,41351,23069,0.5579,0.7884,0.5255,0.4264,4.91,0.01075,0.0853,0.879,0.4042,0.1758,poverty,High
23,Adamawa_LGA_13,Adamawa,NE,9.3528,12.9721,130223,58486,29325,0.5014,0.5447,0.6763,0.3888,4.06,0.0169,0.0724,0.898,0.5382,0.3331,poverty,High
24,Adamawa_LGA_14,Adamawa,NE,9.6272,12.075,96666,47843,28773,0.6014,0.854,0.7583,0.4666,2.88,0.02366,0.1074,0.932,0.4662,0.1166,poverty,Critical
25,Adamawa_LGA_15,Adamawa,NE,9.7058,11.9238,48993,23960,14710,0.614,0.8126,0.6809,0.4386,0.5,0.03517,0.0973,0.328,0.3946,0.1101,poverty,Critical
26,Adamawa_LGA_16,Adamawa,NE,9.8022,13.1136,201813,103850,70410,0.678,0.7526,0.5783,0.3464,24.11,0.01456,0.1016,0.983,0.2167,0.2379,poverty,Critical
27,Adamawa_LGA_17,Adamawa,NE,9.3174,12.5593,186651,96009,53773,0.5601,0.7027,0.7591,0.3009,1.32,0.02307,0.0985,0.629,0.4651,0.321,poverty,High
28,Adamawa_LGA_18,Adamawa,NE,9.1127,12.1031,225404,106369,71818,0.6752,0.7378,0.7383,0.43,10.8,0.01896,0.1048,0.577,0.3342,0.2461,poverty,Critical
29,Adamawa_LGA_19,Adamawa,NE,10.1086,12.7484,182865,81247,55867,0.6876,0.8173,0.7554,0.4964,15.72,0.01,0.106,0.663,0.4086,0.2299,poverty,Critical
30,Adamawa_LGA_20,Adamawa,NE,9.2377,12.0831,207746,84002,45454,0.5411,0.7919,0.7276,0.3094,1.93,0.02383,0.097,0.841,0.4608,0.1987,poverty,High
31,Adamawa_LGA_21,Adamawa,NE,8.7588,12.8428,77647,31725,19514,0.6151,0.8156,0.6606,0.4061,0.5,0.01902,0.0983,0.202,0.2963,0.0918,poverty,Critical
32,Akwa Ibom_LGA_01,Akwa Ibom,SS,5.6845,8.3654,204825,87860,28262,0.3217,0.4371,0.3328,0.0965,1.96,0.01918,0.0635,0.828,0.653,0.4769,poverty,Medium
33,Akwa Ibom_LGA_02,Akwa Ibom,SS,5.3358,8.6983,185778,101621,18933,0.1863,0.2394,0.2393,0.048,0.57,0.01891,0.0317,1.078,0.6716,0.6578,poverty,Low
34,Akwa Ibom_LGA_03,Akwa Ibom,SS,5.4545,8.1483,119721,55144,21408,0.3882,0.3763,0.2362,0.166,1.82,0.01,0.0607,0.701,0.8092,0.5805,poverty,Medium
35,Akwa Ibom_LGA_04,Akwa Ibom,SS,4.3907,7.3446,131021,58639,18462,0.3148,0.3628,0.3076,0.0577,4.59,0.01978,0.0531,0.55,0.5928,0.4698,poverty,Medium
36,Akwa Ibom_LGA_05,Akwa Ibom,SS,4.8694,7.8886,55667,27494,11948,0.4346,0.4385,0.1038,0.1174,6.77,0.01763,0.0519,0.986,0.6929,0.5586,poverty,High
37,Akwa Ibom_LGA_06,Akwa Ibom,SS,5.0204,8.3087,112403,45898,13911,0.3031,0.3573,0.2581,0.0972,3.22,0.0135,0.0543,0.545,0.7732,0.6327,poverty,Medium
38,Akwa Ibom_LGA_07,Akwa Ibom,SS,4.7346,7.4068,131011,71239,31033,0.4356,0.4248,0.0169,0.0832,9.93,0.01,0.0636,1.069,0.6624,0.4425,poverty,High
39,Akwa Ibom_LGA_08,Akwa Ibom,SS,5.4354,7.6275,96310,50605,19288,0.3812,0.3872,0.0439,0.0851,7.95,0.01928,0.0579,0.903,0.7735,0.5171,poverty,Medium
40,Akwa Ibom_LGA_09,Akwa Ibom,SS,5.0896,8.4725,82135,44029,15082,0.3425,0.4569,0.1809,0.1702,2.93,0.03213,0.0513,0.877,0.8452,0.4707,poverty,Medium
41,Akwa Ibom_LGA_10,Akwa Ibom,SS,4.5726,7.5973,51784,26639,7017,0.2634,0.3069,0.3148,0.0,0.85,0.01,0.0417,0.874,0.7057,0.6111,poverty,Medium
42,Akwa Ibom_LGA_11,Akwa Ibom,SS,4.7866,7.9932,100980,47947,16139,0.3366,0.403,0.2385,0.1278,6.84,0.03696,0.0491,0.708,0.6597,0.4857,poverty,Medium
43,Akwa Ibom_LGA_12,Akwa Ibom,SS,4.368,7.7677,90422,44286,13709,0.3096,0.3767,0.2051,0.0617,4.49,0.02616,0.0484,0.604,0.7639,0.5703,poverty,Medium
44,Akwa Ibom_LGA_13,Akwa Ibom,SS,4.6448,8.2549,119498,49844,20694,0.4152,0.3652,0.0545,0.1668,6.56,0.0179,0.0536,0.077,0.6275,0.5566,poverty,High
45,Akwa Ibom_LGA_14,Akwa Ibom,SS,4.9041,8.015,217765,119298,40202,0.337,0.3688,0.3611,0.0389,3.57,0.03518,0.0335,0.416,0.6861,0.542,poverty,Medium
46,Akwa Ibom_LGA_15,Akwa Ibom,SS,5.7647,7.7885,97292,48772,12706,0.2605,0.3038,0.3274,0.0686,5.29,0.02451,0.0576,0.934,0.5852,0.6535,poverty,Medium
47,Akwa Ibom_LGA_16,Akwa Ibom,SS,5.438,8.5147,34446,13931,3152,0.2263,0.2474,0.2714,0.1121,0.65,0.03209,0.0456,0.81,0.7415,0.6464,poverty,Medium
48,Akwa Ibom_LGA_17,Akwa Ibom,SS,5.633,8.2046,217654,89830,32059,0.3569,0.2668,0.0,0.1805,13.7,0.01662,0.0306,0.707,0.6971,0.6504,distance,Medium
49,Akwa Ibom_LGA_18,Akwa Ibom,SS,5.3482,8.4219,53397,22435,8389,0.3739,0.5142,0.2172,0.0831,0.9,0.02513,0.0327,0.849,0.6888,0.5296,poverty,Medium
50,Anambra_LGA_01,Anambra,SE,5.7332,6.2883,24254,10556,1927,0.1826,0.2105,0.2177,0.1406,1.21,0.01,0.0498,0.529,0.7486,0.7065,school_supply,Low
51,Anambra_LGA_02,Anambra,SE,6.8645,7.1073,68645,35528,9126,0.2569,0.0748,0.2785,0.0936,3.3,0.01,0.0584,0.905,0.9666,0.8537,school_supply,Medium
52,Anambra_LGA_03,Anambra,SE,6.172,7.8515,199657,80936,12143,0.15,0.2383,0.1565,0.056,2.86,0.03249,0.0454,0.673,0.8011,0.6732,school_supply,Low
53,Anambra_LGA_04,Anambra,SE,5.5748,6.3257,225265,97101,19612,0.202,0.0944,0.1036,0.0342,1.8,0.02927,0.0475,0.491,0.7714,0.8675,school_supply,Medium
54,Anambra_LGA_05,Anambra,SE,6.0406,6.9266,176961,93113,23369,0.251,0.2789,0.2702,0.0282,0.5,0.01824,0.0378,0.331,0.8309,0.6314,school_supply,Medium
55,Anambra_LGA_06,Anambra,SE,5.926,6.648,154069,64821,21843,0.337,0.1603,0.1077,0.1531,12.94,0.02639,0.0386,0.464,0.8118,0.7587,distance,Medium
56,Anambra_LGA_07,Anambra,SE,5.4248,6.5613,19464,9593,2383,0.2485,0.3446,0.038,0.0,0.5,0.0299,0.0398,0.242,0.7839,0.6364,poverty,Medium
57,Anambra_LGA_08,Anambra,SE,6.6467,7.6288,35338,15282,4512,0.2953,0.2809,0.1701,0.0292,3.4,0.03488,0.0614,0.524,0.8444,0.6792,poverty,Medium
58,Anambra_LGA_09,Anambra,SE,5.9182,6.385,153377,75012,15777,0.2103,0.3073,0.0216,0.0842,1.13,0.01,0.0668,1.319,0.8847,0.6362,poverty,Medium
59,Anambra_LGA_10,Anambra,SE,5.6399,7.369,30046,14435,2844,0.197,0.3118,0.206,0.0149,0.5,0.01934,0.068,1.068,0.7769,0.6319,poverty,Low
60,Bauchi_LGA_01,Bauchi,NE,9.9471,9.1208,157963,76301,41675,0.5462,0.65,0.6511,0.3996,3.45,0.01898,0.1,1.118,0.4821,0.317,poverty,High
61,Bauchi_LGA_02,Bauchi,NE,10.5942,10.2012,155806,64520,40270,0.6242,0.838,0.5868,0.3178,7.22,0.02181,0.088,0.627,0.4202,0.1206,poverty,Critical
62,Bauchi_LGA_03,Bauchi,NE,10.142,10.1321,107946,55188,22440,0.4066,0.7719,0.4861,0.3559,0.5,0.01032,0.0688,0.241,0.4023,0.2069,poverty,High
63,Bauchi_LGA_04,Bauchi,NE,10.7627,9.9519,133118,60777,34711,0.5711,0.6598,0.562,0.3424,3.22,0.01728,0.1043,1.351,0.3731,0.4015,poverty,High
64,Bauchi_LGA_05,Bauchi,NE,10.9301,9.6714,95769,40191,25950,0.6457,0.7792,0.9179,0.4226,3.01,0.02807,0.0864,0.653,0.4727,0.2002,poverty,Critical
65,Bauchi_LGA_06,Bauchi,NE,10.6053,9.5832,103373,48612,31220,0.6422,0.8033,0.5018,0.3079,18.05,0.0207,0.0831,1.049,0.2926,0.1567,poverty,Critical
66,Bauchi_LGA_07,Bauchi,NE,9.5823,9.8104,33464,18316,9269,0.5061,0.8079,0.6063,0.2854,2.82,0.0199,0.0878,0.769,0.3978,0.1841,poverty,High
67,Bauchi_LGA_08,Bauchi,NE,9.6249,9.2605,246265,129976,68989,0.5308,0.8496,0.5569,0.2549,3.37,0.01306,0.0844,0.677,0.4031,0.1198,poverty,High
68,Bauchi_LGA_09,Bauchi,NE,10.6862,9.5137,101145,53300,30360,0.5696,0.6271,0.639,0.3851,13.14,0.03324,0.0838,1.418,0.382,0.2717,poverty,High
69,Bauchi_LGA_10,Bauchi,NE,10.1717,9.7598,72018,38961,25192,0.6466,0.7002,0.6987,0.4379,11.9,0.01198,0.0953,1.209,0.2495,0.2539,poverty,Critical
70,Bauchi_LGA_11,Bauchi,NE,10.7538,9.8683,43504,21019,11693,0.5563,0.9006,0.583,0.4007,4.16,0.02063,0.0901,0.934,0.4932,0.1719,poverty,High
71,Bauchi_LGA_12,Bauchi,NE,9.9151,9.0881,47585,24874,10878,0.4374,0.8193,0.6212,0.4243,2.63,0.03,0.0929,0.693,0.4269,0.02,poverty,High
72,Bauchi_LGA_13,Bauchi,NE,10.26,9.2846,58974,27464,14201,0.5171,0.7882,0.4838,0.3444,0.7,0.01597,0.1124,0.799,0.4326,0.2715,poverty,High
73,Bauchi_LGA_14,Bauchi,NE,9.5137,10.6294,231555,117844,65245,0.5537,0.7295,0.5258,0.4262,0.59,0.01764,0.0889,0.867,0.4493,0.1934,poverty,High
74,Bauchi_LGA_15,Bauchi,NE,10.5659,9.9995,188629,103514,54411,0.5256,0.7855,0.6463,0.3035,1.34,0.02613,0.0937,0.99,0.2877,0.2096,poverty,High
75,Bauchi_LGA_16,Bauchi,NE,10.566,9.524,189407,94146,57770,0.6136,0.8683,0.7794,0.4457,3.86,0.02294,0.0977,0.836,0.4105,0.1597,poverty,Critical
76,Bauchi_LGA_17,Bauchi,NE,10.1631,9.7441,235415,102876,56500,0.5492,0.7502,0.634,0.4135,4.36,0.0263,0.0938,0.43,0.5154,0.1997,poverty,High
77,Bauchi_LGA_18,Bauchi,NE,9.717,9.4802,216272,94784,59124,0.6238,0.7231,0.662,0.397,7.26,0.02342,0.0962,0.168,0.3708,0.1402,poverty,Critical
78,Bauchi_LGA_19,Bauchi,NE,10.0228,10.6018,87405,42101,24157,0.5738,0.7662,0.55,0.4043,1.65,0.01999,0.0999,0.633,0.4645,0.2443,poverty,High
79,Bauchi_LGA_20,Bauchi,NE,10.5215,9.5746,85976,40276,24230,0.6016,0.6813,0.5462,0.4071,5.39,0.02365,0.0776,0.739,0.4088,0.4091,poverty,Critical
80,Bayelsa_LGA_01,Bayelsa,SS,4.4329,5.6825,164046,86267,37086,0.4299,0.3856,0.2846,0.1727,13.88,0.02944,0.0436,0.782,0.6342,0.5757,distance,High
81,Bayelsa_LGA_02,Bayelsa,SS,5.2089,5.4551,235104,121927,33661,0.2761,0.3317,0.1407,0.0544,1.96,0.03099,0.0781,0.624,0.8348,0.6137,poverty,Medium
82,Bayelsa_LGA_03,Bayelsa,SS,5.3858,6.3315,41395,22763,5311,0.2333,0.2382,0.1456,0.1327,2.51,0.01503,0.0501,1.038,0.7344,0.6529,poverty,Medium
83,Bayelsa_LGA_04,Bayelsa,SS,4.1223,6.4345,227276,105115,42427,0.4036,0.4279,0.4242,0.1565,2.14,0.02499,0.0552,0.471,0.7761,0.4471,poverty,High
84,Bayelsa_LGA_05,Bayelsa,SS,5.1681,6.5522,206737,82710,28786,0.348,0.2578,0.276,0.1051,13.67,0.02945,0.0464,0.906,0.6409,0.6905,distance,Medium
85,Bayelsa_LGA_06,Bayelsa,SS,5.2094,5.3257,110459,56408,18192,0.3225,0.3284,0.4771,0.0951,1.54,0.01,0.0411,0.721,0.6651,0.6735,poverty,Medium
86,Bayelsa_LGA_07,Bayelsa,SS,5.1737,6.0767,103464,44106,15050,0.3412,0.3503,0.4719,0.0,0.91,0.01547,0.0501,1.007,0.7578,0.5655,poverty,Medium
87,Bayelsa_LGA_08,Bayelsa,SS,4.6076,6.8546,122503,54313,15243,0.2807,0.3718,0.2439,0.1349,3.02,0.02001,0.0647,0.065,0.6066,0.506,poverty,Medium
88,Bayelsa_LGA_09,Bayelsa,SS,4.8763,6.1515,166769,87385,29704,0.3399,0.5466,0.4802,0.0794,0.85,0.01042,0.0309,0.765,0.6402,0.4038,poverty,Medium
89,Bayelsa_LGA_10,Bayelsa,SS,4.5866,5.7031,196315,104741,51672,0.4933,0.3834,0.168,0.1427,15.39,0.02527,0.0499,0.387,0.6947,0.5732,distance,High
90,Bayelsa_LGA_11,Bayelsa,SS,4.7317,6.7669,49614,21156,7987,0.3776,0.41,0.4934,0.198,1.39,0.01228,0.0648,0.483,0.6142,0.5067,poverty,Medium
91,Bayelsa_LGA_12,Bayelsa,SS,5.3465,5.7826,190263,79396,15452,0.1946,0.293,0.212,0.2141,2.44,0.02739,0.0451,0.744,0.6629,0.5037,poverty,Low
92,Bayelsa_LGA_13,Bayelsa,SS,4.1652,6.6338,33991,18586,5812,0.3127,0.3464,0.4291,0.1205,6.24,0.02607,0.0442,0.968,0.7653,0.5607,poverty,Medium
93,Bayelsa_LGA_14,Bayelsa,SS,4.7599,6.8234,147731,68148,21553,0.3163,0.3569,0.3327,0.0604,0.59,0.02475,0.0562,1.266,0.8222,0.5287,poverty,Medium
94,Bayelsa_LGA_15,Bayelsa,SS,4.983,6.7528,94798,42835,11750,0.2743,0.2054,0.2828,0.022,6.31,0.03264,0.042,0.891,0.662,0.6837,school_supply,Medium
95,Bayelsa_LGA_16,Bayelsa,SS,4.1214,5.5357,33311,13587,6408,0.4717,0.4299,0.3097,0.1398,9.57,0.01959,0.0488,0.549,0.773,0.5456,poverty,High
96,Benue_LGA_01,Benue,NC,7.168,9.4282,57145,22904,8341,0.3642,0.4001,0.5023,0.17,1.79,0.02303,0.0578,1.158,0.4664,0.4392,poverty,Medium
97,Benue_LGA_02,Benue,NC,7.0691,9.356,120713,63778,25959,0.407,0.6103,0.5824,0.2085,3.24,0.01671,0.0387,0.877,0.7076,0.272,poverty,High
98,Benue_LGA_03,Benue,NC,7.4908,9.355,39161,20332,7034,0.346,0.2832,0.5614,0.2377,5.4,0.01,0.05,1.17,0.4178,0.6277,conflict,Medium
99,Benue_LGA_04,Benue,NC,6.995,8.4361,36652,14881,7505,0.5044,0.5969,0.4797,0.2188,5.27,0.02992,0.0524,0.632,0.6382,0.2846,poverty,High
100,Benue_LGA_05,Benue,NC,7.3756,8.2929,148969,79059,28546,0.3611,0.4401,0.5742,0.1061,0.63,0.0273,0.0627,0.924,0.7888,0.5273,poverty,Medium
101,Benue_LGA_06,Benue,NC,7.2264,8.6397,165704,89543,31475,0.3515,0.4851,0.4473,0.1484,5.54,0.02272,0.0527,1.075,0.6313,0.4507,poverty,Medium
102,Benue_LGA_07,Benue,NC,6.728,8.0457,77885,33366,16656,0.4992,0.603,0.5466,0.1812,6.09,0.01658,0.0575,0.687,0.7133,0.2706,poverty,High
103,Benue_LGA_08,Benue,NC,8.083,8.1009,83178,45396,25590,0.5637,0.5497,0.596,0.1243,11.23,0.0198,0.0636,0.967,0.6542,0.4199,poverty,High
104,Benue_LGA_09,Benue,NC,7.3127,8.6802,28996,12283,3424,0.2788,0.4368,0.3248,0.2047,1.28,0.01095,0.0634,0.525,0.5862,0.5807,poverty,Medium
105,Benue_LGA_10,Benue,NC,8.1012,8.2999,16512,8864,3672,0.4143,0.4354,0.5576,0.1295,1.94,0.0173,0.058,0.653,0.5935,0.5429,poverty,High
106,Benue_LGA_11,Benue,NC,7.5416,8.273,213551,110110,41613,0.3779,0.4165,0.723,0.1216,2.17,0.0314,0.0515,1.469,0.7196,0.5737,conflict,Medium
107,Benue_LGA_12,Benue,NC,6.8325,8.4632,99550,47251,18028,0.3816,0.4645,0.4089,0.2412,0.5,0.02546,0.0675,0.719,0.5657,0.4385,poverty,Medium
108,Benue_LGA_13,Benue,NC,7.3531,8.6487,152687,71816,19834,0.2762,0.2136,0.3753,0.256,2.89,0.023,0.0461,1.232,0.6285,0.7223,conflict,Medium
109,Benue_LGA_14,Benue,NC,7.3009,8.0465,245495,122938,48868,0.3975,0.4908,0.4895,0.1802,4.04,0.01905,0.083,0.827,0.7828,0.4762,poverty,Medium
110,Benue_LGA_15,Benue,NC,7.1335,8.6301,35441,18932,8973,0.474,0.5291,0.504,0.1357,10.72,0.01,0.0423,0.833,0.73,0.4232,poverty,High
111,Benue_LGA_16,Benue,NC,6.7172,9.4797,188839,89086,38598,0.4333,0.4187,0.6706,0.2225,2.98,0.02095,0.0633,1.033,0.5752,0.567,conflict,High
112,Benue_LGA_17,Benue,NC,6.9775,8.4433,114327,49859,21191,0.425,0.4482,0.4377,0.1464,1.16,0.0108,0.0632,0.455,0.697,0.4376,poverty,High
113,Benue_LGA_18,Benue,NC,6.8222,8.698,206574,89942,34095,0.3791,0.4899,0.2893,0.1978,3.8,0.0211,0.0607,0.964,0.7116,0.3592,poverty,Medium
114,Benue_LGA_19,Benue,NC,8.028,8.7467,179938,84855,41626,0.4906,0.4248,0.3065,0.1366,21.25,0.01805,0.0581,0.673,0.7263,0.5776,distance,High
115,Benue_LGA_20,Benue,NC,7.1918,8.8591,11824,5287,2298,0.4348,0.5285,0.3835,0.3004,4.08,0.02624,0.0431,0.521,0.7613,0.4113,poverty,High
116,Benue_LGA_21,Benue,NC,6.9689,8.9201,22375,11236,3328,0.2963,0.4311,0.3219,0.1598,0.5,0.0233,0.0443,0.583,0.5935,0.4938,poverty,Medium
117,Benue_LGA_22,Benue,NC,6.8207,9.2492,209857,97477,36265,0.372,0.4383,0.4608,0.207,7.58,0.01044,0.0506,0.61,0.5469,0.5136,poverty,Medium
118,Benue_LGA_23,Benue,NC,6.9449,9.1913,225209,117444,44528,0.3791,0.4773,0.4987,0.1273,1.46,0.02025,0.0703,0.136,0.6677,0.5299,poverty,Medium
119,Borno_LGA_01,Borno,NE,11.6824,13.5553,47884,22050,12532,0.5684,0.5625,1.0,0.3308,2.75,0.01,0.0759,0.748,0.3416,0.4127,conflict,High
120,Borno_LGA_02,Borno,NE,11.4434,13.5277,107666,56030,35649,0.6363,0.7456,1.0,0.4432,1.45,0.0174,0.1036,0.952,0.4156,0.2181,poverty,Critical
121,Borno_LGA_03,Borno,NE,11.4886,12.7676,112899,48731,29850,0.6126,0.7563,0.8822,0.4066,1.3,0.01,0.0932,0.572,0.4462,0.2217,poverty,Critical
122,Borno_LGA_04,Borno,NE,12.4116,13.7174,197463,100559,78381,0.7795,0.8772,0.9875,0.4339,9.55,0.01308,0.0915,0.795,0.4226,0.1647,poverty,Critical
123,Borno_LGA_05,Borno,NE,12.4527,13.2039,209375,112428,67956,0.6044,0.6323,1.0,0.2593,0.52,0.01,0.0905,0.764,0.4936,0.322,conflict,Critical
124,Borno_LGA_06,Borno,NE,12.2284,13.4448,198427,108736,76258,0.7013,0.7311,0.7933,0.3994,28.0,0.02107,0.1139,0.47,0.3918,0.3319,poverty,Critical
125,Borno_LGA_07,Borno,NE,11.7098,13.7609,79181,41525,25451,0.6129,0.7726,0.8801,0.3755,3.72,0.02113,0.0945,0.732,0.2708,0.2541,poverty,Critical
126,Borno_LGA_08,Borno,NE,11.4023,13.4991,167352,85760,50981,0.5945,0.707,1.0,0.348,1.54,0.01551,0.0925,0.758,0.4698,0.237,poverty,High
127,Borno_LGA_09,Borno,NE,12.4366,13.5537,34118,17454,12592,0.7215,0.7643,0.8251,0.4005,18.17,0.03979,0.0726,0.861,0.3098,0.1875,poverty,Critical
128,Borno_LGA_10,Borno,NE,11.8118,13.0793,161805,87097,64075,0.7357,0.7708,1.0,0.3718,14.71,0.01,0.0964,0.766,0.319,0.2126,poverty,Critical
129,Borno_LGA_11,Borno,NE,11.3206,12.6988,17014,9056,6157,0.68,0.8338,0.8102,0.3469,8.87,0.02939,0.091,0.518,0.3577,0.1533,poverty,Critical
130,Borno_LGA_12,Borno,NE,11.8854,13.5004,160680,72230,44706,0.6189,0.7087,1.0,0.3116,1.0,0.01317,0.0911,0.683,0.5182,0.2875,poverty,Critical
131,Borno_LGA_13,Borno,NE,12.4203,12.4844,76859,37780,26160,0.6924,0.7751,0.9008,0.4246,13.66,0.01484,0.0834,0.63,0.4879,0.2338,poverty,Critical
132,Borno_LGA_14,Borno,NE,11.2661,13.4697,158490,69031,39611,0.5738,0.6878,0.887,0.3271,4.96,0.0188,0.0778,1.053,0.3266,0.4215,poverty,High
133,Borno_LGA_15,Borno,NE,11.9233,13.5767,107191,50619,29922,0.5911,0.6464,1.0,0.436,4.06,0.01,0.0921,0.464,0.517,0.3587,conflict,High
134,Borno_LGA_16,Borno,NE,11.8396,13.1093,132796,53758,32295,0.6008,0.8387,0.7908,0.3951,2.93,0.01,0.0899,0.882,0.3759,0.0525,poverty,Critical
135,Borno_LGA_17,Borno,NE,11.2969,13.8657,45848,24182,13789,0.5702,0.7146,0.946,0.4021,4.64,0.01659,0.0909,0.224,0.4382,0.2569,poverty,High
136,Borno_LGA_18,Borno,NE,11.4083,12.819,190974,100247,68076,0.6791,0.7494,0.967,0.3569,8.03,0.01783,0.0689,1.031,0.4977,0.2577,poverty,Critical
137,Borno_LGA_19,Borno,NE,11.7537,13.937,107838,55253,30437,0.5509,0.6799,0.9274,0.4174,2.02,0.01069,0.0941,0.974,0.407,0.2991,poverty,High
138,Borno_LGA_20,Borno,NE,11.5791,12.5636,106814,53234,30585,0.5746,0.8203,0.8003,0.3145,1.66,0.02027,0.0788,0.685,0.4529,0.1296,poverty,High
139,Borno_LGA_21,Borno,NE,11.1539,12.4479,159675,64133,37957,0.5919,0.6946,0.9331,0.4322,0.79,0.01,0.0966,0.475,0.513,0.326,poverty,High
140,Borno_LGA_22,Borno,NE,12.4962,13.2392,224118,101738,58017,0.5703,0.7688,1.0,0.3519,2.06,0.01005,0.0794,0.251,0.4584,0.2985,poverty,High
141,Borno_LGA_23,Borno,NE,11.1235,12.9235,217262,106569,56496,0.5301,0.7135,0.9601,0.2796,3.34,0.01114,0.092,0.332,0.4434,0.3091,poverty,High
142,Borno_LGA_24,Borno,NE,11.1181,12.7177,122955,66738,41108,0.616,0.6259,0.9953,0.3575,5.65,0.01538,0.1007,0.981,0.3896,0.3676,conflict,Critical
143,Borno_LGA_25,Borno,NE,12.2708,13.9123,129427,66132,38505,0.5823,0.7848,0.872,0.4055,0.61,0.01,0.1019,0.05,0.3507,0.2449,poverty,High
144,Borno_LGA_26,Borno,NE,12.2176,13.7184,45166,24452,16716,0.6836,0.8403,0.9445,0.3204,2.75,0.01152,0.0987,1.02,0.2625,0.1235,poverty,Critical
