child_id,lga_id,state,geopolitical_zone,gender,age,grade_level,attendance_rate,math_score,literacy_score,household_income_usd_day,parent_edu_level,sibling_count,distance_to_school_km,disability,conflict_displaced,school_fee_burden,has_birth_certificate,meal_programme_access,poverty_rate_lga,conflict_score_lga,teacher_pupil_ratio,dropout
69,162,Delta,SS,M,9,3,0.771,84.7,71.0,0.71,3,7,1.24,0,0,0.438,0,1,0.4498,0.5813,0.01487,0
70,202,Ekiti,SW,F,14,8,0.727,52.8,70.8,5.46,2,2,3.16,0,0,0.19,1,1,0.2117,0.1393,0.01073,0
71,270,Jigawa,NW,F,9,5,0.379,64.2,44.9,0.24,1,5,3.78,0,0,0.488,0,1,0.7829,0.2147,0.01416,1
72,271,Kaduna,NW,M,8,4,0.464,27.2,51.5,0.79,0,11,1.17,0,0,0.942,1,0,0.7459,0.7227,0.02992,1
73,456,Ogun,SW,M,14,9,0.841,85.2,85.3,0.56,0,3,5.46,0,0,0.382,1,1,0.3957,0.2305,0.01821,0
74,462,Ogun,SW,F,6,1,0.788,98.7,68.0,0.32,2,2,5.59,0,0,0.207,1,1,0.2183,0.1066,0.01857,0
75,252,Imo,SE,F,15,9,0.913,63.2,67.0,0.62,2,3,8.17,1,0,0.165,1,0,0.29,0.1745,0.01513,0
76,296,Kano,NW,M,15,9,0.617,42.8,50.6,1.14,1,10,4.74,1,0,1.0,0,1,0.8008,0.3196,0.01485,1
77,338,Katsina,NW,M,11,6,0.51,48.6,35.8,0.23,1,5,2.6,0,0,0.65,0,0,0.809,0.5075,0.01803,1
78,53,Anambra,SE,M,9,4,0.957,94.0,76.1,0.23,2,3,0.99,0,0,0.257,1,0,0.0944,0.1036,0.02927,0
79,217,Enugu,SE,F,15,9,0.677,68.7,51.0,2.02,3,2,2.24,0,0,0.251,1,1,0.3447,0.144,0.01552,0
80,188,Edo,SS,M,9,3,0.792,72.8,58.8,0.41,2,5,0.2,0,1,0.347,1,0,0.4865,0.2216,0.01511,0
81,380,Kwara,NC,M,12,7,0.955,83.2,71.3,0.62,1,8,12.67,0,0,0.339,1,0,0.3913,0.0564,0.024,0
82,493,Osun,SW,F,6,1,0.785,59.2,62.5,0.13,3,5,2.79,0,0,0.342,1,0,0.3013,0.1883,0.02186,0
83,41,Akwa Ibom,SS,M,12,8,0.837,67.1,78.6,1.23,0,6,1.26,0,0,0.039,1,1,0.3069,0.3148,0.01,0
84,157,Delta,SS,M,14,8,0.659,52.0,56.1,1.54,3,7,2.32,0,0,0.622,1,0,0.4735,0.3257,0.02643,0
85,15,Adamawa,NE,F,6,2,0.479,56.3,52.1,0.3,0,6,0.2,0,1,1.0,1,1,0.8879,0.682,0.01077,1
86,65,Bauchi,NE,F,11,7,0.42,49.8,46.4,0.1,1,7,17.78,0,0,0.582,0,0,0.8033,0.5018,0.0207,0
87,521,Oyo,SW,F,10,4,0.957,84.6,67.5,2.24,1,5,5.65,0,0,0.058,1,1,0.0506,0.156,0.01,0
88,344,Katsina,NW,F,11,6,0.37,62.8,22.2,3.27,1,8,2.22,1,0,0.55,1,1,0.8235,0.4946,0.02158,1
89,129,Borno,NE,F,7,3,0.297,69.0,42.5,0.1,0,3,8.61,0,1,0.745,1,1,0.8338,0.8102,0.02939,1
90,472,Ogun,SW,F,7,3,0.889,63.9,59.8,5.53,1,3,4.8,0,0,0.22,1,1,0.195,0.0468,0.01,0
91,63,Bauchi,NE,F,13,8,0.371,34.6,39.6,0.76,0,8,4.31,0,0,0.65,1,1,0.6598,0.562,0.01728,1
92,139,Borno,NE,M,7,2,0.509,44.0,33.2,0.89,1,6,0.38,0,0,0.237,0,1,0.6946,0.9331,0.01,0
93,499,Osun,SW,F,7,1,0.716,75.3,70.6,7.25,3,5,17.54,0,0,0.392,1,1,0.3418,0.158,0.01668,0
94,593,Sokoto,NW,F,6,2,0.362,62.6,28.4,0.1,0,5,1.51,0,0,0.341,1,0,0.7044,0.4599,0.03065,1
95,392,Kwara,NC,F,14,8,0.553,49.3,53.7,0.29,3,8,3.91,0,0,0.185,1,1,0.3799,0.1903,0.03232,0
96,419,Nasarawa,NC,F,14,8,0.386,59.2,39.8,0.1,0,6,0.2,0,0,0.36,1,0,0.3954,0.5451,0.01911,0
97,289,Kaduna,NW,M,6,1,0.786,67.4,56.8,0.55,0,3,3.42,0,0,0.88,0,0,0.865,0.6018,0.01,0
98,379,Kwara,NC,M,8,2,0.694,58.5,70.7,0.74,3,4,7.63,0,0,0.378,1,1,0.4278,0.3239,0.02058,0
99,490,Ondo,SW,M,12,6,0.782,75.4,62.5,0.56,1,7,7.84,0,0,0.075,1,1,0.1637,0.0834,0.02385,0
100,231,FCT Abuja,NC,F,10,5,0.896,73.4,83.7,4.44,3,5,4.91,0,0,0.435,1,1,0.3571,0.0095,0.03032,0
101,41,Akwa Ibom,SS,F,8,4,0.835,75.6,57.3,0.49,2,2,1.27,0,0,0.124,1,0,0.3069,0.3148,0.01,0
102,28,Adamawa,NE,M,9,5,0.715,84.5,50.1,0.27,2,7,9.6,0,0,0.563,1,0,0.7378,0.7383,0.01896,0
103,135,Borno,NE,F,13,9,0.297,50.9,27.4,0.81,0,6,5.0,0,0,0.655,1,0,0.7146,0.946,0.01659,1
104,201,Ekiti,SW,F,7,3,0.983,76.5,62.1,1.85,3,6,1.59,0,0,0.005,1,1,0.0812,0.1141,0.03072,0
105,33,Akwa Ibom,SS,F,7,1,0.811,62.0,60.9,3.29,2,5,0.31,0,0,0.078,1,0,0.2394,0.2393,0.01891,0
106,48,Akwa Ibom,SS,M,14,9,1.0,79.9,86.0,0.26,1,7,12.85,0,0,0.125,1,0,0.2668,0.0,0.01662,0
107,503,Osun,SW,M,13,9,0.834,61.4,54.8,7.25,1,3,5.22,0,0,0.432,1,0,0.0904,0.1596,0.0284,0
108,407,Lagos,SW,M,15,9,0.936,68.0,88.3,0.28,3,3,3.59,0,0,0.0,1,1,0.184,0.013,0.01396,0
109,574,Rivers,SS,F,9,4,0.682,79.6,68.6,0.74,0,3,0.2,0,0,0.195,1,1,0.3705,0.2213,0.01051,0
110,99,Benue,NC,F,8,4,0.431,43.4,56.8,1.09,0,9,4.45,0,0,0.488,1,1,0.5969,0.4797,0.02992,1
111,547,Plateau,NC,M,10,5,0.764,73.4,68.6,0.69,1,4,1.97,0,0,0.555,0,0,0.5555,0.6388,0.01136,0
112,613,Taraba,NE,M,14,9,0.575,37.5,66.1,0.71,1,3,0.57,0,0,0.591,1,0,0.7827,0.49,0.02438,0
113,462,Ogun,SW,M,9,4,0.744,84.2,82.5,1.15,1,5,4.17,0,0,0.071,1,1,0.2183,0.1066,0.01857,0
114,643,Zamfara,NW,M,11,6,0.341,28.9,29.3,0.3,0,3,4.89,0,0,0.819,0,0,0.9031,0.9309,0.01082,1
115,5,Abia,SE,F,13,9,0.746,68.0,71.6,0.77,2,3,4.41,0,0,0.23,1,0,0.2289,0.0725,0.02807,0
116,218,Enugu,SE,M,13,7,1.0,80.3,67.0,0.81,1,4,4.63,0,0,0.293,1,1,0.1012,0.2357,0.03526,0
117,503,Osun,SW,F,8,3,0.763,69.5,76.0,0.39,2,4,3.94,0,1,0.239,1,0,0.0904,0.1596,0.0284,0
118,398,Lagos,SW,M,12,7,0.758,64.7,100.0,0.76,1,5,0.5,0,0,0.5,1,0,0.231,0.1399,0.02919,0
119,393,Kwara,NC,F,8,2,0.727,58.6,47.8,2.19,3,2,0.45,0,0,0.323,1,0,0.4898,0.2532,0.01,0
120,207,Ekiti,SW,M,13,7,1.0,91.0,75.7,1.26,2,3,1.34,0,0,0.107,1,0,0.1566,0.0306,0.02688,0
121,15,Adamawa,NE,M,7,2,0.39,46.3,33.1,0.3,1,8,1.28,0,1,0.583,1,0,0.8879,0.682,0.01077,1
122,554,Plateau,NC,F,13,7,0.655,79.6,52.1,2.27,2,10,0.2,0,0,0.205,0,0,0.4265,0.3736,0.02458,0
123,461,Ogun,SW,M,8,2,0.956,78.0,71.4,0.43,3,5,5.98,0,0,0.028,1,0,0.1749,0.0,0.0136,0
124,575,Rivers,SS,F,10,5,0.727,68.8,26.2,0.59,3,0,14.91,1,1,0.041,1,0,0.1563,0.2698,0.03463,1
125,241,Gombe,NE,F,6,2,0.41,32.5,31.2,0.67,0,5,1.26,0,1,0.752,1,0,0.7568,0.3338,0.01507,1
126,564,Rivers,SS,F,6,2,0.543,29.0,78.4,0.14,0,3,5.18,1,0,0.197,1,0,0.4036,0.3753,0.03275,0
127,96,Benue,NC,F,8,2,0.467,48.8,44.6,0.35,3,5,0.56,0,0,0.199,1,0,0.4001,0.5023,0.02303,0
128,485,Ondo,SW,M,8,4,0.956,91.3,73.5,0.1,3,5,0.2,0,0,0.07,1,1,0.1664,0.0,0.01,0
129,407,Lagos,SW,M,8,3,0.91,62.8,70.4,0.44,3,5,7.9,0,0,0.432,1,0,0.184,0.013,0.01396,0
130,231,FCT Abuja,NC,F,8,4,0.486,34.2,54.8,1.58,0,8,6.82,0,0,0.361,0,0,0.3571,0.0095,0.03032,0
131,171,Ebonyi,SE,F,12,7,0.674,61.5,51.7,1.63,0,4,0.85,0,0,0.123,0,0,0.4622,0.2971,0.02951,0
132,541,Oyo,SW,F,6,2,0.832,76.4,65.7,2.06,1,5,4.0,0,0,0.174,1,0,0.095,0.1427,0.01193,0
133,36,Akwa Ibom,SS,M,13,8,0.743,50.3,55.5,1.83,3,5,6.41,0,0,0.257,1,0,0.4385,0.1038,0.01763,0
134,525,Oyo,SW,F,14,9,0.764,67.5,47.9,9.74,2,8,0.59,0,0,0.119,1,0,0.2405,0.082,0.01662,0
135,160,Delta,SS,M,15,9,0.727,53.1,48.8,0.41,3,4,2.61,0,0,0.357,1,1,0.3424,0.2668,0.014,0
136,243,Imo,SE,F,15,9,0.707,76.2,60.9,0.1,2,2,5.64,0,0,0.307,1,1,0.2949,0.3149,0.02805,0
137,86,Bayelsa,SS,F,7,2,0.926,65.2,63.9,2.02,1,5,0.28,1,0,0.367,1,1,0.3503,0.4719,0.01547,0
138,578,Sokoto,NW,M,7,3,0.52,45.7,71.4,0.13,0,9,2.56,0,0,0.726,1,0,0.8552,0.1531,0.02519,1
139,557,Plateau,NC,M,7,3,0.773,78.7,64.3,0.1,1,2,8.84,0,0,0.304,1,0,0.3985,0.4948,0.02874,0
140,574,Rivers,SS,F,15,9,0.677,62.9,58.5,0.21,1,6,0.92,0,0,0.295,1,1,0.3705,0.2213,0.01051,0
141,28,Adamawa,NE,F,11,7,0.179,53.3,33.5,0.87,2,5,12.62,0,0,0.788,1,0,0.7378,0.7383,0.01896,1
142,620,Yobe,NE,F,13,7,0.153,42.9,25.5,0.14,0,6,4.33,0,0,0.34,1,0,0.6465,0.8122,0.01494,1
143,556,Plateau,NC,F,8,2,0.457,47.5,47.6,0.6,2,10,2.25,0,0,0.526,0,0,0.5371,0.5211,0.02006,0
144,340,Katsina,NW,M,12,7,0.517,37.5,42.9,0.19,1,5,1.22,0,0,0.703,1,0,0.7545,0.5995,0.02299,1
145,331,Kano,NW,M,13,7,0.592,39.7,70.0,1.42,1,14,5.45,0,0,0.28,0,0,0.7005,0.3947,0.02315,0
146,640,Zamfara,NW,F,6,2,0.162,20.6,34.6,0.61,2,7,1.08,0,0,0.566,0,0,0.9539,0.6194,0.01006,1
147,506,Osun,SW,M,9,3,0.881,72.3,71.5,2.52,1,3,2.74,0,0,0.0,1,0,0.1066,0.2082,0.01,0
148,348,Katsina,NW,F,6,1,0.535,43.3,42.3,0.36,0,3,0.5,0,0,0.894,0,1,0.8133,0.4132,0.01213,0
149,473,Ondo,SW,M,11,7,1.0,80.9,83.5,0.1,2,3,0.2,0,0,0.07,1,1,0.3151,0.1165,0.01,0
150,231,FCT Abuja,NC,F,8,2,0.727,56.5,61.5,0.1,3,2,6.96,0,0,0.323,1,1,0.3571,0.0095,0.03032,0
151,190,Edo,SS,M,15,9,0.742,64.5,65.0,0.41,1,4,2.2,0,0,0.045,0,1,0.2804,0.1135,0.02526,0
152,225,Enugu,SE,F,11,7,0.817,66.4,80.1,1.11,3,5,0.2,0,0,0.077,1,0,0.1221,0.306,0.03966,0
153,385,Kwara,NC,F,15,9,0.623,36.9,53.0,1.54,3,8,8.64,0,0,0.356,1,0,0.5029,0.1124,0.0148,1
154,377,Kogi,NC,M,9,4,0.813,68.0,55.4,3.92,2,5,6.51,0,0,0.082,1,0,0.3693,0.1951,0.02349,0
155,283,Kaduna,NW,F,15,9,0.272,17.0,39.8,0.44,0,6,3.68,0,0,0.502,0,1,0.7806,0.5523,0.02602,1
156,633,Zamfara,NW,M,10,6,0.493,51.0,51.1,0.44,2,7,18.64,0,1,0.829,0,1,0.9222,0.7882,0.01,1
157,628,Yobe,NE,F,6,1,0.239,31.9,15.9,0.1,0,9,1.59,0,0,0.462,0,1,0.7357,0.9023,0.01688,1
158,259,Jigawa,NW,F,15,9,0.414,51.7,41.2,0.27,1,5,7.42,0,0,0.262,1,1,0.7148,0.2619,0.01,0
159,359,Kebbi,NW,F,6,1,0.64,56.7,54.3,0.1,1,8,1.99,0,1,0.638,0,0,0.8979,0.2538,0.01496,1
160,456,Ogun,SW,F,13,9,0.819,59.4,74.0,0.58,2,8,5.11,0,0,0.247,0,0,0.3957,0.2305,0.01821,0
161,411,Lagos,SW,M,10,6,1.0,80.7,67.7,5.43,2,2,0.52,0,0,0.393,0,0,0.2059,0.0055,0.02143,0
162,318,Kano,NW,M,7,1,0.435,55.6,41.4,0.42,1,9,1.75,0,0,0.396,1,1,0.7568,0.4981,0.03259,0
163,225,Enugu,SE,M,10,4,0.847,75.2,47.6,1.34,2,5,0.98,0,0,0.258,1,0,0.1221,0.306,0.03966,0
164,234,Gombe,NE,M,12,8,0.718,60.6,76.9,0.48,0,6,5.25,0,0,0.681,0,0,0.783,0.4274,0.01442,1
165,374,Kogi,NC,M,14,9,0.473,49.1,59.7,1.36,1,6,2.85,0,0,0.433,1,1,0.3179,0.3425,0.02651,0
166,608,Taraba,NE,M,13,8,0.627,59.9,46.3,0.36,1,2,6.12,0,1,0.559,0,1,0.7855,0.6634,0.01387,1
167,472,Ogun,SW,F,6,1,0.94,93.1,64.8,1.24,1,3,3.4,0,0,0.0,1,0,0.195,0.0468,0.01,0
168,233,Gombe,NE,F,6,2,0.259,39.0,27.5,1.44,1,6,1.52,0,0,0.682,1,0,0.8124,0.5287,0.01872,1
169,113,Benue,NC,M,7,1,0.638,59.6,64.6,5.56,3,4,3.92,0,0,0.508,1,0,0.4899,0.2893,0.0211,0
170,497,Osun,SW,M,13,7,1.0,77.1,68.7,2.52,3,6,1.51,0,0,0.028,1,0,0.133,0.0,0.01664,0
171,442,Niger,NC,F,12,8,0.556,38.8,69.0,0.23,1,10,10.59,0,1,0.759,0,0,0.6668,0.1796,0.01914,1
172,564,Rivers,SS,M,15,9,0.906,52.8,69.0,1.65,2,4,3.88,0,0,0.049,1,0,0.4036,0.3753,0.03275,0
173,268,Jigawa,NW,M,15,9,0.592,48.2,53.6,1.69,1,6,15.6,0,0,0.529,1,0,0.7381,0.4203,0.01959,0
174,510,Oyo,SW,M,6,1,0.91,89.4,67.4,1.21,3,5,5.24,0,0,0.258,1,0,0.1681,0.0,0.02767,0
175,386,Kwara,NC,F,10,6,0.576,51.1,43.3,1.3,0,6,14.46,0,0,0.616,1,1,0.5313,0.4232,0.0164,1
176,387,Kwara,NC,M,13,8,0.529,47.4,73.8,0.19,1,6,2.13,0,0,0.097,1,1,0.4436,0.194,0.02191,0
177,113,Benue,NC,M,11,6,0.731,78.5,67.3,2.44,1,5,3.82,0,0,0.364,0,1,0.4899,0.2893,0.0211,0
178,613,Taraba,NE,M,11,7,0.609,60.2,58.2,1.33,2,7,0.75,0,0,0.567,1,0,0.7827,0.49,0.02438,0
179,625,Yobe,NE,F,11,5,0.267,30.5,39.4,0.41,0,4,1.1,0,1,0.605,1,1,0.7124,0.8028,0.0192,1
180,81,Bayelsa,SS,M,12,7,0.762,54.6,75.3,0.1,2,3,1.73,0,0,0.168,0,1,0.3317,0.1407,0.03099,0
181,113,Benue,NC,F,14,8,0.541,49.2,31.0,0.83,3,11,3.41,0,0,0.578,1,0,0.4899,0.2893,0.0211,0
182,2,Abia,SE,M,15,9,0.871,74.4,44.8,3.19,2,3,2.04,0,0,0.089,0,1,0.3095,0.0041,0.01846,0
183,642,Zamfara,NW,F,7,2,0.155,32.2,24.3,0.12,0,8,3.97,0,0,0.874,1,0,0.9644,0.6661,0.03823,1
184,220,Enugu,SE,F,7,1,0.607,52.1,46.4,1.88,1,5,4.89,0,0,0.128,1,1,0.4114,0.3265,0.0189,0
185,566,Rivers,SS,M,8,4,0.656,64.7,45.6,0.47,0,8,2.34,0,1,0.161,0,0,0.4368,0.394,0.02931,1
186,225,Enugu,SE,F,13,9,0.917,82.0,72.2,3.91,2,6,0.73,0,0,0.355,1,0,0.1221,0.306,0.03966,0
187,385,Kwara,NC,F,13,7,0.654,57.9,55.6,0.93,2,3,8.77,0,0,0.659,0,0,0.5029,0.1124,0.0148,0
188,403,Lagos,SW,M,13,8,0.546,72.9,49.0,3.78,1,4,11.2,0,0,0.086,1,1,0.235,0.2176,0.0174,0
189,638,Zamfara,NW,M,14,9,0.499,63.0,50.7,0.14,0,4,1.97,0,1,0.596,1,0,0.7956,0.8943,0.01706,1
190,130,Borno,NE,M,11,6,0.531,66.3,68.3,0.51,2,8,3.12,0,0,0.768,1,1,0.7087,1.0,0.01317,1
191,53,Anambra,SE,F,10,6,0.983,74.9,78.7,4.86,3,6,1.97,0,0,0.0,1,0,0.0944,0.1036,0.02927,0
192,416,Nasarawa,NC,M,13,9,0.903,75.3,78.8,0.39,2,6,13.14,0,0,0.127,1,1,0.3249,0.4621,0.02338,0
193,247,Imo,SE,M,10,4,0.74,65.3,54.8,0.59,1,7,4.12,0,0,0.372,1,1,0.3581,0.5089,0.02587,0
